"","mean.relief","sd.relief","log.sponges","broad.macroalgae","broad.reef","distance.to.ramp","aspect","log.tpi","log.roughness","log.slope","depth","status","planned.or.exploratory"
"1",1,1,0,0,0,0,0,0,0,0,0,0,1
"2",0.088,0.056,0.057,0.118,0.003,0.058,0.097,0.311,0.343,0.118,0.756,0.214,0.216
"3",0,0.15,0.042,0,0,0.059,0,0.052,0.539,0.447,0.995,0.167,0.171
"4",0,1,0,0,1,0,0,0,0,0,0,0,1
"5",0,0.138,0.068,0,0,0.219,0,0.196,0.07,0.031,0.97,0.276,0.477
"6",0,0.224,0.175,0,0,0.608,0,0.035,0.174,0.082,0.994,0.191,0.199
"7",1,0,0,0,0,0,0,0,1,0,0,1,0
"8",0.913,0,0,0,0,0,0.084,0,0.77,0.228,0.001,0,0.998
