"","mean.relief","sd.relief","log.sponges","broad.macroalgae","broad.reef","distance.to.ramp","aspect","log.tpi","log.roughness","log.slope","depth","status"
"all greater than 20 cm",0.172,0.137,0.057,0,0.766,0,0.011,0.066,0.595,0.312,0,0.574
"all greater than 30 cm",0.005,0.049,0.229,0,0,0,0.029,0.045,0.256,0.6,0.959,0.404
"fished greater than 20 cm",0.993,0.123,0.005,0,0.001,0,0,0.002,0.874,0.125,0.004,0.867
"fished greater than 30 cm",0.999,0,0,0,0,0,0,0,0,0.999,0,0.999
"greater than legal size",0.157,0.049,0.75,0.001,0.073,0.01,0.063,0.149,0.085,0.841,0.006,0.736
"smaller than legal size",0.508,0,0,0,0.081,0.001,0,1,1,0,0.124,0.286
"sublegal size pink snapper",0.376,0.014,0.013,0,0.029,0.001,0.028,0.028,0.1,0.841,0.517,0.879
