"","mean.relief","sd.relief","log.sponges","broad.macroalgae","broad.reef","distance.to.ramp","aspect","log.tpi","log.roughness","log.slope","depth","status","planned.or.exploratory"
"1",1,1,0,0,0,0,0,0,0,0,0,0,1
"2",0.088,0.056,0.057,0.118,0.003,0.058,0.097,0.311,0.343,0.118,0.756,0.214,0.216
