"","mean.relief","sd.relief","log.sponges","broad.macroalgae","broad.reef","distance.to.ramp","aspect","log.tpi","log.roughness","log.slope","depth","status"
"Labridae Coris auricularis",0,1,0,0,0,0,0,0,0,0,1,1
"Sparidae Chrysophrys auratus",0.997,0.286,0,0,0,0,0.116,0.031,0.021,0.977,0,0.411
"total.abundance",1,0,0,0,0,0,0,1,0,0,0,1
"species.richness",0.953,0.216,0,0,0.012,0,0.133,0.185,0.093,0.129,0.001,0.28
