"","mean.relief","sd.relief","distance.to.ramp","aspect","depth","broad.reef","status","planned.or.exploratory"
"1",1,1,0,0,0,1,0,0
"2",1,1,0,0,0,1,0,0
"3",1,1,0,0,0,0,0.818,0.182
"4",1,1,0,0,0,0,0.818,0.182
