"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Up","fov.Limited","fov.Open","broad.Ascidians","broad.Bryozoa","broad.Consolidated","broad.Hydroids","broad.Macroalgae","broad.Octocoral/Black","broad.Seagrasses","broad.Sponges","broad.Stony corals","broad.True anemones","broad.Unconsolidated"
"IO95",-34.12618897,114.7338721,20201022,08:21:00,"C.IO.68","South-west","Yes",0,5,95,0,0,0,0,0,0,0,0,0,0,100
"IO264",-34.01868897,114.8738721,20201019,09:31:00,"C.IO.19","South-west","Yes",0,12.1212121212121,87.8787878787879,0,0,32.258064516129,3.2258064516129,0,0,3.2258064516129,3.2258064516129,0,0,58.0645161290323
"IO339",-34.01461667,114.8785,20201019,09:41:00,"C.IO.19","South-west","Yes",0,2.5,97.5,0,7.89473684210526,13.1578947368421,0,50,2.63157894736842,2.63157894736842,23.6842105263158,0,0,0
"IO352",-34.03618897,114.5988721,20201123,09:43:00,"C.IO.27","South-west","Yes",0,0,100,0,17.5,0,10,0,0,0,15,0,0,57.5
"IO323",-34.03103333,114.6001,20201123,09:48:00,"C.IO.27","South-west","Yes",0,5,95,0,2.85714285714286,0,0,0,0,0,8.57142857142857,0,0,88.5714285714286
"IO263",-34.00868897,114.8788721,20201019,09:52:00,"C.IO.19","South-west","Yes",0,7.5,92.5,2.85714285714286,0,8.57142857142857,0,42.8571428571429,0,34.2857142857143,5.71428571428571,0,0,5.71428571428571
"IO307",-34.11868897,114.7263721,20201022,09:56:00,"C.IO.9","South-west","Yes",0,5,95,0,11.7647058823529,0,0,0,0,0,2.94117647058824,0,0,85.2941176470588
"IO350",-34.02618897,114.6038721,20201123,09:56:00,"C.IO.27","South-west","Yes",0,2.5,97.5,0,5.26315789473684,0,0,0,0,0,2.63157894736842,0,0,92.1052631578947
"IO369",-34.02868897,114.5913721,20201123,10:08:00,"C.IO.27","South-west","Yes",0,7.5,92.5,0,19.3548387096774,0,3.2258064516129,0,0,0,6.45161290322581,0,0,70.9677419354839
"IO37",-34.10868897,114.7188721,20201022,10:12:00,"C.IO.55","South-west","Yes",0,7.5,92.5,0,19.4444444444444,0,0,0,0,0,5.55555555555556,0,0,75
"IO351",-34.03118897,114.5963721,20201123,10:13:00,"C.IO.27","South-west","Yes",0,12.5,87.5,0,6.06060606060606,0,0,0,0,0,0,0,0,93.9393939393939
"IO40",-34.10368897,114.7138721,20201022,10:17:00,"C.IO.55","South-west","Yes",0,10.2564102564103,89.7435897435898,0,0,0,0,0,0,0,0,0,0,100
"IOCP2311",-34.01858,114.601465,20201123,10:19:00,"C.IO.46","South-west","Yes",0,10.5263157894737,89.4736842105263,0,0,0,5.55555555555556,0,0,0,0,0,0,94.4444444444444
"FH37",-33.71118897,114.8138721,20201012,11:03:00,"C.FH.6","South-west","Yes",0,12.5,87.5,0,0,50,0,26.9230769230769,0,3.84615384615385,0,0,0,19.2307692307692
"IO338",-33.97231667,114.92245,20201019,11:50:00,"C.IO.20","South-west","Yes",0,13.5135135135135,86.4864864864865,3.03030303030303,3.03030303030303,3.03030303030303,0,9.09090909090909,0,0,3.03030303030303,0,0,78.7878787878788
"IO253",-34.01368897,114.7038721,20201123,12:15:00,"C.IO.49","South-west","Yes",0,15,85,0,0,0,0,0,0,0,5.88235294117647,0,0,94.1176470588235
"IO364",-34.00868897,114.6888721,20201123,12:21:00,"C.IO.24","South-west","Yes",0,5,95,0,0,0,0,0,0,0,8.82352941176471,0,0,91.1764705882353
"IO180",-33.99618897,114.7038721,20201123,12:36:00,"C.IO.41","South-west","Yes",0,5,95,0,0,0,0,0,0,0,0,0,0,100
"IOCP11-1",-33.992845,114.696642,20201123,12:39:00,"C.IO.41","South-west","Yes",0,7.5,92.5,0,0,0,0,0,0,0,3.125,0,0,96.875
"IOCP11-2",-33.974332,114.692773,20201123,12:47:00,NA,"South-west","Yes",0,2.5,97.5,0,19.4444444444444,5.55555555555556,11.1111111111111,0,8.33333333333333,0,52.7777777777778,0,0,2.77777777777778
"IO164",-34.03368897,114.9038721,20201016,07:14:00,"C.IO.62","South-west","Yes",0,2.56410256410256,97.4358974358974,3.57142857142857,3.57142857142857,10.7142857142857,0,32.1428571428571,0,17.8571428571429,14.2857142857143,0,0,17.8571428571429
"IO184",-34.04118897,114.9038721,20201016,07:19:00,"C.IO.62","South-west","Yes",0,7.5,92.5,0,0,5.88235294117647,0,35.2941176470588,0,0,38.2352941176471,0,0,20.5882352941176
"IO165",-34.04368897,114.8988721,20201016,07:23:00,"C.IO.62","South-west","Yes",0,0,100,0,11.1111111111111,11.1111111111111,0,74.0740740740741,0,0,3.7037037037037,0,0,0
"IO374",-33.98618897,114.7463721,20201015,07:31:00,"C.IO.25","South-west","Yes",0,17.5,82.5,0,48,0,20,0,12,0,12,0,0,8
"IO361",-33.98868897,114.7413721,20201015,07:35:00,"C.IO.25","South-west","Yes",0,2.5,97.5,0,21.875,0,12.5,0,0,0,6.25,0,0,59.375
"IO155",-34.04368897,114.8838721,20201016,07:42:00,"C.IO.65","South-west","Yes",0,5,95,0,0,13.7931034482759,0,65.5172413793103,0,0,6.89655172413793,0,0,13.7931034482759
"IO325",-33.991557,114.743378,20201015,07:44:00,"C.IO.25","South-west","Yes",0,5,95,0,23.5294117647059,11.7647058823529,2.94117647058824,0,0,0,8.82352941176471,0,0,52.9411764705882
"IOC06",-34.048689,114.876372,20201016,07:48:00,"C.IO.65","South-west","Yes",0,33.3333333333333,66.6666666666667,0,0,14.2857142857143,0,7.14285714285714,0,71.4285714285714,7.14285714285714,0,0,0
"IO266",-34.02118897,114.7588721,20201015,08:06:00,"C.IO.23","South-west","Yes",0,2.5,97.5,0,0,0,0,0,0,0,0,0,0,100
"IO327",-34.02946667,114.7623833,20201015,08:17:00,"C.IO.23","South-west","Yes",0,0,100,0,43.3333333333333,0,23.3333333333333,0,10,0,23.3333333333333,0,0,0
"IO210",-34.09118897,114.8738721,20201016,10:09:00,"C.IO.6","South-west","Yes",0,5,95,0,0,10.3448275862069,0,55.1724137931034,0,3.44827586206897,20.6896551724138,0,0,10.3448275862069
"IO17",-34.06368897,114.8763721,20201016,08:07:00,"C.IO.35","South-west",NA,0,0,100,0,0,5,0,80,0,0,5,0,0,10
"IO334",-34.06155,114.7753667,20201015,10:11:00,"C.IO.8","South-west","Yes",0,5,95,0,0,0,0,0,0,0,0,0,0,100
"IO267",-34.02618897,114.7638721,20201015,08:11:00,"C.IO.23","South-west",NA,0,0,100,0,30.7692307692308,7.69230769230769,15.3846153846154,0,0,0,0,0,0,46.1538461538462
"IO312",-34.05868897,114.7788721,20201015,10:17:00,"C.IO.8","South-west","Yes",0,7.5,92.5,0,20,10,10,16.6666666666667,0,0,13.3333333333333,0,0,30
"IO81",-34.09868897,114.8913721,20201016,10:20:00,"C.IO.52","South-west","Yes",0,0,100,0,0,5,0,60,0,10,0,0,0,25
"IO158",-33.98118897,114.8188721,20201013,10:21:00,"C.IO.33","South-west","Yes",0,6.66666666666667,93.3333333333333,0,0,33.3333333333333,0,0,0,6.66666666666667,0,0,0,60
"IO207",-34.06118897,114.7863721,20201015,10:23:00,"C.IO.7","South-west","Yes",0,5,95,0,10,13.3333333333333,0,30,0,0,3.33333333333333,0,0,43.3333333333333
"IO145",-33.98618897,114.8238721,20201013,10:24:00,"C.IO.22","South-west","Yes",0,7.69230769230769,92.3076923076923,0,0,6.06060606060606,0,78.7878787878788,0,6.06060606060606,6.06060606060606,0,0,3.03030303030303
"IO91",-34.09368897,114.8938721,20201016,10:25:00,"C.IO.52","South-west","Yes",0,10,90,0,20,4,0,56,0,0,0,0,0,20
"IO80",-34.09368897,114.8888721,20201016,10:30:00,"C.IO.52","South-west","Yes",0,12.5,87.5,0,0,9.375,0,56.25,0,28.125,6.25,0,0,0
"IO335",-34.06686667,114.7939833,20201015,10:31:00,"C.IO.7","South-west","Yes",0,7.5,92.5,0,3.7037037037037,37.037037037037,0,25.9259259259259,0,3.7037037037037,29.6296296296296,0,0,0
"IO204",-34.06618897,114.7863721,20201015,10:35:00,"C.IO.7","South-west","Yes",0,5,95,0,6.25,0,0,9.375,0,0,21.875,0,0,62.5
"IO3",-34.07618897,114.7838721,20201015,12:03:00,"C.IO.43","South-west","Yes",0,0,100,0,0,16.6666666666667,2.77777777777778,38.8888888888889,0,0,33.3333333333333,0,0,8.33333333333333
"FH32",-33.69618897,114.9463721,20201017,08:50:00,"C.FH.5","South-west",NA,0,0,100,0,0,0,0,0,0,0,20,0,0,80
"IO254",-34.01868897,114.6963721,20201029,08:51:00,"C.IO.49","South-west","No",0,5,95,0,5.55555555555556,0,8.33333333333333,0,0,0,2.77777777777778,0,0,83.3333333333333
"IO239",-34.09118897,114.9313721,20201016,12:05:00,"C.IO.1","South-west","Yes",0,2.5,97.5,0,0,0,0,0,0,0,0,0,0,100
"FH36",-33.69868897,114.9338721,20201017,08:59:00,"C.FH.5","South-west","No",0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO1",-34.07868897,114.7788721,20201015,12:07:00,"C.IO.43","South-west","Yes",0,2.5,97.5,0,0,11.4285714285714,0,8.57142857142857,0,0,2.85714285714286,0,0,77.1428571428572
"IO357",-34.08496667,114.928,20201016,12:08:00,"C.IO.1","South-west","Yes",0,2.5,97.5,0,9.67741935483871,12.9032258064516,0,22.5806451612903,0,0,29.0322580645161,0,0,25.8064516129032
"IO237",-34.08118897,114.9363721,20201016,12:15:00,"C.IO.1","South-west","Yes",0,0,100,0,0,0,0,0,0,0,0,0,0,100
"FH54",-33.76618897,114.9388721,20201017,09:20:00,"C.FH.9","South-west",NA,0,0,100,0,0,0,0,68.4210526315789,0,0,0,0,0,31.5789473684211
"IO73",-34.02868897,114.8588721,20201019,09:22:00,"C.IO.60","South-west","Yes",0,0,100,0,0,17.6470588235294,0,52.9411764705882,0,29.4117647058824,0,0,0,0
"IO4",-34.09118897,114.7813721,20201015,12:17:00,"C.IO.43","South-west","Yes",0,2.5,97.5,0,45.4545454545455,4.54545454545455,0,4.54545454545455,9.09090909090909,0,31.8181818181818,0,0,4.54545454545455
"IO152",-33.98118897,114.8688721,20201013,12:18:00,"C.IO.37","South-west","Yes",0,12.1212121212121,87.8787878787879,0,0,48.5714285714286,0,22.8571428571429,0,5.71428571428571,8.57142857142857,0,0,14.2857142857143
"IO218",-34.07368897,114.9213721,20201016,12:28:00,"C.IO.2","South-west","Yes",0,7.5,92.5,0,3.44827586206897,10.3448275862069,0,0,0,0,0,0,0,86.2068965517241
"IO344",-34.0844,114.6744,20201023,09:28:00,"C.IO.14","South-west",NA,0,0,100,0,0,0,0,0,0,0,0,0,0,100
"IO215",-34.06868897,114.9263721,20201016,12:34:00,"C.IO.2","South-west","Yes",0,7.5,92.5,0,0,0,0,0,0,0,0,0,0,100
"IO125",-34.10868897,114.8263721,20201015,12:38:00,"C.IO.59","South-west","Yes",0,5,95,0,0,40,0,46.6666666666667,0,0,0,0,0,13.3333333333333
"IO123",-34.10618897,114.8188721,20201015,12:42:00,"C.IO.59","South-west","Yes",0,5.55555555555556,94.4444444444444,0,0,32.3529411764706,0,58.8235294117647,0,0,2.94117647058824,0,0,5.88235294117647
"IO132",-33.99118897,114.8713721,20201013,12:47:00,"C.IO.37","South-west","Yes",0,5,95,0,0,0,0,46.1538461538462,0,26.9230769230769,19.2307692307692,0,0,7.69230769230769
"IO225",-34.07118897,114.8338721,20201015,14:20:00,"C.IO.4","South-west","Yes",0,7.5,92.5,0,0,11.4285714285714,0,77.1428571428572,0,0,2.85714285714286,0,0,8.57142857142857
"IO223",-34.07118897,114.8463721,20201015,14:25:00,"C.IO.4","South-west","Yes",0,7.5,92.5,0,0,11.5384615384615,0,19.2307692307692,0,3.84615384615385,0,0,0,65.3846153846154
"IO16",-34.07368897,114.8688721,20201016,09:43:00,"C.IO.35","South-west",NA,0,0,100,0,0,10,0,10,0,0,0,0,0,80
"IO224",-34.06118897,114.8388721,20201015,14:35:00,"C.IO.4","South-west","Yes",0,2.85714285714286,97.1428571428571,0,0,53.3333333333333,0,33.3333333333333,0,3.33333333333333,3.33333333333333,0,0,6.66666666666667
"IO353",-34.05436667,114.8390667,20201015,14:43:00,"C.IO.5","South-west","Yes",0,0,100,0,0,7.89473684210526,0,89.4736842105263,0,0,0,0,0,2.63157894736842
"IO201",-34.05618897,114.8338721,20201015,14:46:00,"C.IO.5","South-west","Yes",0,11.4285714285714,88.5714285714286,0,3.125,46.875,0,28.125,0,3.125,3.125,0,0,15.625
"IO222",-34.06618897,114.8313721,20201015,14:54:00,"C.IO.4","South-west","Yes",0,2.77777777777778,97.2222222222222,0,0,21.4285714285714,0,46.4285714285714,0,0,0,0,0,32.1428571428571
