OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
FH10	1.08	2021 01 27 11:42:23	F:\	FH10.EMObs
FH102	1.08	2021 01 27 11:42:23	I:\Converted\	FH102.EMObs
FH106	1.08	2021 01 27 11:42:23	F:\	FH106.EMObs
FH108	1.08	2021 01 27 11:42:23	I:\Converted\	FH108.EMObs
FH109	1.08	2021 01 27 11:42:23	E:\	FH109.EMObs
FH11	1.08	2021 01 27 11:42:23	E:\	FH11.EMObs
FH110	1.08	2021 01 27 11:42:23	E:\FH110\	FH110.EMObs
FH111	1.08	2021 01 27 11:42:23	E:\FH111\	FH111.EMObs
FH12	1.08	2021 01 27 11:42:23	E:\	FH12.EMObs
FH15	1.08	2021 01 27 11:42:23	E:\FH15\	FH15.EMObs
FH16	1.08	2021 01 27 11:42:23	F:\	FH16.EMObs
FH17	1.08	2021 01 27 11:42:23	E:\FH17\	FH17.EMObs
FH18	1.08	2021 01 27 11:42:23	E:\Converted\	FH18.EMObs
FH20	1.08	2021 01 27 11:42:23	E:\Converted\	FH20.EMObs
FH21	1.08	2021 01 27 11:42:23	E:\FH21\	FH21.EMObs
FH23	1.08	2021 01 27 11:42:23	E:\FH23\	FH23.EMObs
FH25	1.08	2021 01 27 11:42:23	F:\	FH25.EMObs
FH26	1.08	2021 01 27 11:42:23	E:\Converted\	FH26.EMObs
FH27	1.08	2021 01 27 11:42:23	E:\Converted\	FH27.EMObs
FH28	1.08	2021 01 27 11:42:23	I:\17102020\FH28\	FH28.EMObs
FH30	1.08	2021 01 27 11:42:23	I:\17102020\FH30\	FH30.EMObs
FH31	1.08	2021 01 27 11:42:23	E:\Converted\	FH31.EMObs
FH34	1.08	2021 01 27 11:42:23	E:\Converted\	FH34.EMObs
FH35	1.08	2021 01 27 11:42:23	E:\	FH35.EMObs
FH37	1.08	2021 01 27 11:42:23	\\sci-35258\i\converted\	FH37.EMObs
FH39	1.08	2021 01 27 11:42:23	E:\20201029\FH39\	FH39.EMObs
FH41	1.08	2021 01 27 11:42:23	G:\	FH41.EMObs
FH42	1.08	2021 01 27 11:42:23	F:\	FH42.EMObs
FH44	1.08	2021 01 27 11:42:23	E:\Converted\	FH44.EMObs
FH45	1.08	2021 01 27 11:42:23	G:\	FH45.EMObs
FH46	1.08	2021 01 27 11:42:23	I:\17102020\FH46\	FH46.EMObs
FH47	1.08	2021 01 27 11:42:23	F:\	FH47.EMObs
FH48	1.08	2021 01 27 11:42:23	G:\	FH48.EMObs
FH49	1.08	2021 01 27 11:42:23	E:\20201029\FH49\	FH49.EMObs
FH5	1.08	2021 01 27 11:42:23	E:\Converted\	FH5.EMObs
FH50	1.08	2021 01 27 11:42:23	I:\17102020\FH50\	FH50.EMObs
FH51	1.08	2021 01 27 11:42:23	F:\	FH51.EMObs
FH52	1.08	2021 01 27 11:42:23	F:\	FH52.EMObs
FH55	1.08	2021 01 27 11:42:23	E:\	FH55.EMObs
FH56	1.08	2021 01 27 11:42:23	G:\	FH56.EMObs
FH57	1.08	2021 01 27 11:42:23	G:\	FH57.EMObs
FH58	1.08	2021 01 27 11:42:23	E:\	FH58.EMObs
FH59	1.08	2021 01 27 11:42:23	G:\	FH59.EMObs
FH6	1.08	2021 01 27 11:42:23	E:\Converted\	FH6.EMObs
FH60	1.08	2021 01 27 11:42:23	G:\	FH60.EMObs
FH61	1.08	2021 01 27 11:42:23	G:\	FH61.EMObs
FH63	1.08	2021 01 27 11:42:23	G:\	FH63.EMObs
FH64	1.08	2021 01 27 11:42:23	I:\17102020\FH64\	FH64.EMObs
FH65	1.08	2021 01 27 11:42:23	E:\	FH65.EMObs
FH66	1.08	2021 01 27 11:42:23	E:\20201029\FH66\	FH66.EMObs
FH67	1.08	2021 01 27 11:42:23	E:\	FH67.EMObs
FH68	1.08	2021 01 27 11:42:23	F:\	FH68.EMObs
FH69	1.08	2021 01 27 11:42:23	D:\	FH69.EMObs
FH7	1.08	2021 01 27 11:42:23	E:\Converted\	FH7.EMObs
FH70	1.08	2021 01 27 11:42:23	E:\	FH70.EMObs
FH71	1.08	2021 01 27 11:42:23	E:\FH71\	FH71.EMObs
FH72	1.08	2021 01 27 11:42:23	E:\	FH72.EMObs
FH74	1.08	2021 01 27 11:42:23	E:\	FH74.EMObs
FH78	1.08	2021 01 27 11:42:23	E:\	FH78.EMObs
FH79	1.08	2021 01 27 11:42:23	E:\FH79\	FH79.EMObs
FH8	1.08	2021 01 27 11:42:23	E:\FH8\	FH8.EMObs
FH82	1.08	2021 01 27 11:42:23	I:\17102020\FH82\	FH82.EMObs
FH83	1.08	2021 01 27 11:42:23	E:\FH83\	FH83.EMObs
FH84	1.08	2021 01 27 11:42:23	E:\FH84\	FH84.EMObs
FH85	1.08	2021 01 27 11:42:23	E:\20201029\FH85\	FH85.EMObs
FH87	1.08	2021 01 27 11:42:23	E:\	FH87.EMObs
FH89	1.08	2021 01 27 11:42:23	E:\	FH89.EMObs
FH9	1.08	2021 01 27 11:42:23	F:\	FH9.EMObs
FH92	1.08	2021 01 27 11:42:23	E:\FH92\	FH92.EMObs
FH93	1.08	2021 01 27 11:42:23	I:\17102020\FH93\	FH93.EMObs
FH94	1.08	2021 01 27 11:42:23	E:\	FH94.EMObs
FH95	1.08	2021 01 27 11:42:23	E:\Converted\	FH95.EMObs
FH96	1.08	2021 01 27 11:42:23	E:\	FH96.EMObs
FH99	1.08	2021 01 27 11:42:23	F:\	FH99.EMObs
FHA	1.08	2021 01 27 11:42:23	E:\Converted\	FHA.EMObs
FHB	1.08	2021 01 27 11:42:23	E:\Converted\	FHB.EMObs
FHC	1.08	2021 01 27 11:42:23	I:\17102020\FHC\	FHC.EMObs
FHCO1	1.08	2021 01 27 11:42:23	E:\FHCO1\	FHCO1.EMObs
FHCO2	1.08	2021 01 27 11:42:23	E:\FHCO2\	FHCO2.EMObs
FHCO3	1.08	2021 01 27 11:42:23	G:\	FHCO3.EMObs
FHD	1.08	2021 01 27 11:42:23	I:\Converted\	FHD.EMObs
FHE	1.08	2021 01 27 11:42:23	I:\Converted\	FHE.EMObs
IO1	1.08	2021 01 27 11:42:23	E:\	IO1.EMObs
IO100	1.08	2021 01 27 11:42:23	E:\20201029\100\	IO100.EMObs
IO101	1.08	2021 01 27 11:42:23	E:\	IO101.EMObs
IO102	1.08	2021 01 27 11:42:23	E:\	IO102.EMObs
IO105	1.08	2021 01 27 11:42:23	E:\	IO105.EMObs
IO107	1.08	2021 01 27 11:42:23	E:\	IO107.EMObs
IO108	1.08	2021 01 27 11:42:23	E:\	IO108.EMObs
IO109	1.08	2021 01 27 11:42:23	E:\20201023\109\	IO109.EMObs
IO110	1.08	2021 01 27 11:42:23	F:\converted\	IO110.EMObs
IO113	1.08	2021 01 27 11:42:23	E:\	IO113.EMObs
IO115	1.08	2021 01 27 11:42:23	E:\	IO115.EMObs
IO117	1.08	2021 01 27 11:42:23	E:\20201023\117\	IO117.EMObs
IO119	1.08	2021 01 27 11:42:23	E:\20201029\119\	IO119.EMObs
IO122	1.08	2021 01 27 11:42:23	E:\20201015\122\	IO122.EMObs
IO123	1.08	2021 01 27 11:42:23	E:\	IO123.EMObs
IO125	1.08	2021 01 27 11:42:23	E:\	IO125.EMObs
IO126	1.08	2021 01 27 11:42:23	E:\20201015\126\	IO126.EMObs
IO132	1.08	2021 01 27 11:42:23	E:\	IO132.EMObs
IO133	1.08	2021 01 27 11:42:23	E:\IO133\	IO133.EMObs
IO134	1.08	2021 01 27 11:42:23	E:\20201013\134\	IO134.EMObs
IO145	1.08	2021 01 27 11:42:23	E:\	IO145.EMObs
IO146	1.08	2021 01 27 11:42:23	\\Sci-35258\e\20201013\146\	IO146.EMObs
IO147	1.08	2021 01 27 11:42:23	E:\20201013\147\	IO147.EMObs
IO148	1.08	2021 01 27 11:42:23	F:\20201123\148\	IO148.EMObs
IO15	1.08	2021 01 27 11:42:23	E:\20201016\15\	IO15.EMObs
IO152	1.08	2021 01 27 11:42:23	E:\	IO152.EMObs
IO153	1.08	2021 01 27 11:42:23	E:\20201016\IO153\	IO153.EMObs
IO155	1.08	2021 01 27 11:42:23	E:\	IO155.EMObs
IO158	1.08	2021 01 27 11:42:23	E:\	IO158.EMObs
IO164	1.08	2021 01 27 11:42:23	E:\	IO164.EMObs
IO165	1.08	2021 01 27 11:42:23	E:\	IO165.EMObs
IO180	1.08	2021 01 27 11:42:23	E:\converted\	IO180.EMObs
