"","new.names","archetype","prob","sp.names"
"1","spp5","Archetype1",0.999976515654183,"Asymbolus occiduus"
"2","spp10","Archetype1",0.999975423162055,"Callanthias australis"
"3","spp12","Archetype1",0.999987461389674,"Centroberyx australis"
"4","spp26","Archetype1",0.999978142597437,"Gerres sp1"
"5","spp27","Archetype1",0.999780470746656,"Gerres subfasciatus"
"6","spp31","Archetype1",0.668701324252018,"Kyphosus sydneyanus"
"7","spp45","Archetype1",0.999938985160712,"Neosebastes nigropunctatus"
"8","spp53","Archetype1",0.999983870668231,"Parequula elongata"
"9","spp58","Archetype1",0.999979317474213,"Pristiophorus cirratus"
"10","spp61","Archetype1",0.999948838378467,"Pterygotrigla polyommata"
"11","spp69","Archetype1",0.999979848949122,"Squalus sp1"
"12","spp70","Archetype1",0.873697402413399,"Squalus spp"
"13","spp74","Archetype1",0.999976857014381,"Trachurus declivis"
"14","spp1","Archetype2",0.999999765101307,"Acanthaluteres brownii"
"15","spp4","Archetype2",0.999997184167128,"Anoplocapros lenticularis"
"16","spp7","Archetype2",1,"Bathytoshia brevicaudata"
"17","spp13","Archetype2",1,"Centroberyx gerrardi"
"18","spp14","Archetype2",1,"Centroberyx lineatus"
"19","spp19","Archetype2",1,"Chrysophrys auratus"
"20","spp20","Archetype2",1,"Coris auricularis"
"21","spp22","Archetype2",1,"Enoplosus armatus"
"22","spp23","Archetype2",1,"Epinephelides armatus"
"23","spp25","Archetype2",1,"Furgaleus macki"
"24","spp32","Archetype2",1,"Latropiscis purpurissatus"
"25","spp34","Archetype2",0.999999999999801,"Meuschenia freycineti"
"26","spp37","Archetype2",1,"Meuschenia scaber"
"27","spp39","Archetype2",1,"Mustelus antarcticus"
"28","spp41","Archetype2",1,"Neatypus obliquus"
"29","spp42","Archetype2",1,"Nelusetta ayraud"
"30","spp43","Archetype2",1,"Nemadactylus valenciennesi"
"31","spp44","Archetype2",1,"Neosebastes bougainvillii"
"32","spp46","Archetype2",1,"Neosebastes pandus"
"33","spp49","Archetype2",1,"Oplegnathus woodwardi"
"34","spp50","Archetype2",0.999999999999915,"Parapercis haackei"
"35","spp51","Archetype2",1,"Parapercis ramsayi"
"36","spp56","Archetype2",1,"Parupeneus chrysopleuron"
"37","spp59","Archetype2",1,"Pseudocaranx spp"
"38","spp65","Archetype2",1,"Seriola hippos"
"39","spp66","Archetype2",0.999999999999993,"Sillago spp"
"40","spp71","Archetype2",1,"Suezichthys bifurcatus"
"41","spp72","Archetype2",1,"Tilodon sexfasciatus"
"42","spp76","Archetype2",1,"Trygonorrhina dumerilii"
"43","spp78","Archetype2",0.999999999934261,"Urolophus circularis"
"44","spp2","Archetype3",0.999038806915765,"Acanthaluteres vittiger"
"45","spp3","Archetype3",0.998165360783447,"Achoerodus gouldii"
"46","spp6","Archetype3",0.999654193874554,"Austrolabrus maculatus"
"47","spp8","Archetype3",0.996431402614629,"Bodianus frenchii"
"48","spp9","Archetype3",0.999294745999054,"Caesioperca rasor"
"49","spp11","Archetype3",0.999267219741797,"Carcharhinus brevipinna"
"50","spp15","Archetype3",0.996976384999163,"Chelmonops curiosus"
"51","spp16","Archetype3",0.999296748755496,"Choerodon rubescens"
"52","spp17","Archetype3",0.999997161792911,"Chromis klunzingeri"
"53","spp18","Archetype3",0.999100660524064,"Chromis westaustralis"
"54","spp21","Archetype3",0.998146723504618,"Dinolestes lewini"
"55","spp24","Archetype3",0.999322411872829,"Eupetrichthys angustipes"
"56","spp28","Archetype3",0.994028902177824,"Glaucosoma hebraicum"
"57","spp29","Archetype3",0.999880365054213,"Heterodontus portusjacksoni"
"58","spp30","Archetype3",0.999404995260918,"Hypoplectrodes nigroruber"
"59","spp33","Archetype3",0.999409213813025,"Meuschenia flavolineata"
"60","spp35","Archetype3",0.999295056643576,"Meuschenia galii"
"61","spp36","Archetype3",0.999216724720936,"Meuschenia hippocrepis"
"62","spp38","Archetype3",0.999323198697185,"Meuschenia venusta"
"63","spp40","Archetype3",0.999023839505844,"Myliobatis tenuicaudatus"
"64","spp47","Archetype3",0.999373222985081,"Notolabrus parilus"
"65","spp48","Archetype3",0.999999996514362,"Ophthalmolepis lineolatus"
"66","spp52","Archetype3",0.988683892720301,"Parascyllium variolatum"
"67","spp54","Archetype3",0.998207599020622,"Parequula melbournensis"
"68","spp55","Archetype3",0.99913403683022,"Parma bicolor"
"69","spp57","Archetype3",0.999369262789603,"Pempheris klunzingeri"
"70","spp60","Archetype3",0.999996490329769,"Pseudolabrus biserialis"
"71","spp62","Archetype3",0.999494073053137,"Scobinichthys granulatus"
"72","spp63","Archetype3",0.999211136680562,"Scorpis aequipinnis"
"73","spp64","Archetype3",0.99923059181523,"Scorpis georgiana"
"74","spp67","Archetype3",0.999465620983684,"Siphonognathus caninis"
"75","spp68","Archetype3",0.999075171061107,"Sphyraena novaehollandiae"
"76","spp73","Archetype3",0.982027582706642,"Trachinops noarlungae"
"77","spp75","Archetype3",0.999643574107729,"Trygonoptera ovalis"
"78","spp77","Archetype3",0.99811311672345,"Upeneichthys vlamingii"
