"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Platycephalidae","Platycephalus","spp",0.161,0.7,0.043,19.35,27.64,49.54
"Mullidae","Upeneichthys","vlamingii",0.159,0.313,0.01,9.34,21.83,28.28
"Scorpididae","Neatypus","obliquus",0.143,0.429,0.002,3.95,16.46,24.82
"Berycidae","Centroberyx","australis",0.136,0.136,0.136,21.2,21.2,21.2
"Monacanthidae","Acanthaluteres","vittiger",0.116,0.269,0,1.75,17.96,25.44
"Sillaginidae","Sillago","spp",0.109,0.153,0.065,19.61,22.7,25.79
"Carangidae","Trachurus","novaezelandiae",0.091,0.11,0.058,12.97,15.13,16.37
"Labridae","Eupetrichthys","angustipes",0.077,2.304,0.002,5.23,11.49,58.07
"Serranidae","Caesioperca","spp",0.065,5.495,0.002,4.45,11.21,72.6
"Labridae","Austrolabrus","maculatus",0.053,2.721,0.002,4.33,9.15,52.16
"Pomacentridae","Parma","bicolor",0.052,0.065,0.039,14.01,15.35,16.69
"Enoplosidae","Enoplosus","armatus",0.051,0.062,0.04,19.38,20.84,22.29
"Labridae","Ophthalmolepis","lineolatus",0.051,0.325,0.001,5.11,18.05,35.34
"Monacanthidae","Meuschenia","venusta",0.045,0.083,0.023,10.89,13.41,16.97
"Serranidae","Hypoplectrodes","nigroruber",0.042,0.074,0.023,13.86,16.6,20.56
"Mullidae","Parupeneus","chrysopleuron",0.04,0.07,0.014,8.83,12.34,15.43
"Labridae","Pseudolabrus","biserialis",0.039,0.199,0.006,6.91,12.08,21.76
"Pinguipedidae","Parapercis","ramsayi",0.012,0.024,0.002,6.16,10.6,14.12
"Gerreidae","Gerres","subfasciatus",0.01,0.037,0.005,5.94,7.39,11.67
"Belonidae","Strongylura","leiura",0.01,0.01,0.01,15.81,15.81,15.81
"Callanthiidae","Callanthias","australis",0.008,0.018,0.003,5.61,7.98,10.43
"Labridae","Suezichthys","bifurcatus",0.008,0.025,0.001,5.07,10.06,15.71
"Pinguipedidae","Parapercis","haackei",0.007,0.011,0.001,4.61,8.55,11.15
"Pomacentridae","Chromis","westaustralis",0.005,0.007,0.002,5,6.53,8.05
"Pomacentridae","Chromis","klunzingeri",0.004,0.011,0.001,4.03,6.07,8.44
"Odacidae","Siphonognathus","caninis",0.003,0.004,0.002,6.94,8.25,9.02
"Carangidae","Unknown","sp10",0.001,0.001,0.001,3.61,3.66,3.71
"Clupeidae","Hyperlophus","vittatus",0,0,0,4.15,4.15,4.15
"Pinguipedidae","Parapercis","sp1",0,0,0,3.55,3.55,3.55
