"campaignid","sample","family","genus","species","family_correct","genus_correct","species_correct"
"2020-10_south-west_stereo-BRUVs","FH8","Aulopidae","Aulopus","purpurissatus","Aulopidae","Latropiscis","purpurissatus"
"2020-10_south-west_stereo-BRUVs","FH87","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","FH9","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-10_south-west_stereo-BRUVs","FH9","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2020-10_south-west_stereo-BRUVs","FH92","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2020-10_south-west_stereo-BRUVs","FHA","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","FHC01","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2020-10_south-west_stereo-BRUVs","FHC03","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","FHE","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-10_south-west_stereo-BRUVs","IO1","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-10_south-west_stereo-BRUVs","IO101","Ostraciidae","Caprichthys","gymnura","Aracanidae","Caprichthys","gymnura"
"2020-10_south-west_stereo-BRUVs","IO102","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2020-10_south-west_stereo-BRUVs","IO125","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","IO132","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-10_south-west_stereo-BRUVs","IO132","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2020-10_south-west_stereo-BRUVs","IO134","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-10_south-west_stereo-BRUVs","IO146","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2020-10_south-west_stereo-BRUVs","IO147","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","IO15","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-10_south-west_stereo-BRUVs","IO152","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-10_south-west_stereo-BRUVs","IO153","Monocentrididae","Cleidopus","gloriamaris","Monocentridae","Cleidopus","gloriamaris"
"2020-10_south-west_stereo-BRUVs","IO155","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-10_south-west_stereo-BRUVs","IO158","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2020-10_south-west_stereo-BRUVs","IO164","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-10_south-west_stereo-BRUVs","IO164","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","IO201","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2020-10_south-west_stereo-BRUVs","IO201","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","IO204","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","IO215","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","IO217","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2020-10_south-west_stereo-BRUVs","IO217","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","IO218","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","IO222","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","IO223","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-10_south-west_stereo-BRUVs","IO223","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","IO224","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2020-10_south-west_stereo-BRUVs","IO224","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","IO226","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-10_south-west_stereo-BRUVs","IO228","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2020-10_south-west_stereo-BRUVs","IO228","Ostraciidae","Caprichthys","gymnura","Aracanidae","Caprichthys","gymnura"
"2020-10_south-west_stereo-BRUVs","IO236","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-10_south-west_stereo-BRUVs","IO237","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
