"","sample","campaignid.x","family","unique.name","genus","full.name","species","maxn","campaignid.y","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","deployment","cluster","notes"
"20","10","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Pseudolabrus biserialis","Pseudolabrus","Pseudolabrus biserialis","biserialis",10,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"21","10","2020-06_south-west_stereo-BRUVs","Monacanthidae","Monacanthidae Meuschenia freycineti","Meuschenia","Meuschenia freycineti","freycineti",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"22","10","2020-06_south-west_stereo-BRUVs","Myliobatidae","Myliobatidae Myliobatis tenuicaudatus","Myliobatis","Myliobatis tenuicaudatus","tenuicaudatus",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"23","10","2020-06_south-west_stereo-BRUVs","Scorpididae","Scorpididae Neatypus obliquus","Neatypus","Neatypus obliquus","obliquus",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"24","10","2020-06_south-west_stereo-BRUVs","Scorpididae","Scorpididae Tilodon sexfasciatus","Tilodon","Tilodon sexfasciatus","sexfasciatus",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"25","11","2020-06_south-west_stereo-BRUVs","Gerreidae","Gerreidae Parequula melbournensis","Parequula","Parequula melbournensis","melbournensis",2,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"26","11","2020-06_south-west_stereo-BRUVs","Heterodontidae","Heterodontidae Heterodontus portusjacksoni","Heterodontus","Heterodontus portusjacksoni","portusjacksoni",2,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"27","11","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Achoerodus gouldii","Achoerodus","Achoerodus gouldii","gouldii",1,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"28","11","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Austrolabrus maculatus","Austrolabrus","Austrolabrus maculatus","maculatus",1,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"29","11","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Coris auricularis","Coris","Coris auricularis","auricularis",3,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"30","11","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Ophthalmolepis lineolatus","Ophthalmolepis","Ophthalmolepis lineolatus","lineolatus",3,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
"31","11","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Pseudolabrus biserialis","Pseudolabrus","Pseudolabrus biserialis","biserialis",6,"2020-06_south-west_stereo-BRUVs",-34.117752,114.92306,20200602,"13:55","South-west","No-take",NA,45.08,"Hayley","Yes",NA,"Jun-20","c2","no"
