Longitude,Latitude,class,BRUVid,Sample
114.5363721,-34.03868897,MBH,242,IO242
114.5288721,-34.04368897,MBH,243,IO243
114.9063721,-34.00368897,MBH,244,IO244
114.9013721,-34.00868897,MBH,245,IO245
114.8938721,-34.00118897,MBH,246,IO246
114.4788721,-34.03368897,MBH,247,IO247
114.4888721,-34.03618897,MBH,248,IO248
114.4813721,-34.02368897,MBH,249,IO249
114.6938721,-34.01368897,MBH,250,IO250
114.6988721,-34.01118897,MBH,251,IO251
114.6938721,-34.00868897,MBH,252,IO252
114.7038721,-34.01368897,MBH,253,IO253
114.6963721,-34.01868897,MBH,254,IO254
114.5238721,-34.03868897,MBH,255,IO255
114.5388721,-34.04368897,MBH,256,IO256
114.5263721,-34.03368897,MBH,257,IO257
114.9138721,-33.96618897,Legacy,258,IO258
114.9213721,-33.96868897,Legacy,259,IO259
114.9163721,-33.97118897,Legacy,260,IO260
114.9213721,-33.97618897,Legacy,261,IO261
114.8738721,-34.01368897,Legacy,262,IO262
114.8788721,-34.00868897,Legacy,263,IO263
114.8738721,-34.01868897,Legacy,264,IO264
114.5363721,-34.14868897,Legacy,265,IO265
114.7588721,-34.02118897,Legacy,266,IO266
114.7638721,-34.02618897,Legacy,267,IO267
114.7563721,-34.03118897,Legacy,268,IO268
114.8138721,-33.98868897,Legacy,269,IO269
114.8288721,-33.98868897,Legacy,270,IO270
114.8213721,-33.99368897,Legacy,271,IO271
114.8138721,-34.00868897,Legacy,272,IO272
114.8213721,-33.99868897,Legacy,273,IO273
114.4763721,-34.09118897,Legacy,274,IO274
114.6463721,-34.09868897,Legacy,275,IO275
114.6363721,-34.10118897,Legacy,276,IO276
114.6463721,-34.10618897,Legacy,277,IO277
114.6388721,-34.11118897,Legacy,278,IO278
114.6663721,-34.07868897,Legacy,279,IO279
114.6738721,-34.08868897,Legacy,280,IO280
114.5413721,-34.13868897,Legacy,281,IO281
114.5438721,-34.14618897,Legacy,282,IO282
114.5363721,-34.13868897,Legacy,283,IO283
114.4763721,-34.06618897,Legacy,284,IO284
114.4763721,-34.07368897,Legacy,285,IO285
114.4788721,-34.07868897,Legacy,286,IO286
114.4738721,-34.07868897,Legacy,287,IO287
114.4813721,-34.09118897,Legacy,288,IO288
114.7263721,-34.06368897,Legacy,289,IO289
114.7188721,-34.06868897,Legacy,290,IO290
114.7488721,-34.08368897,Legacy,291,IO291
114.7588721,-34.08868897,Legacy,293,IO293
114.7538721,-34.08368897,Legacy,294,IO294
114.7538721,-34.10368897,Legacy,295,IO295
114.7463721,-34.09368897,Legacy,296,IO296
114.7488721,-34.10618897,Legacy,297,IO297
114.6713721,-34.07618897,Legacy,298,IO298
114.6763721,-34.08118897,Legacy,299,IO299
114.6688721,-34.08618897,Legacy,300,IO300
114.6813721,-34.07868897,Legacy,301,IO301
114.7238721,-34.07118897,Legacy,302,IO302
114.7288721,-34.05618897,Legacy,303,IO303
114.7313721,-34.06618897,Legacy,304,IO304
114.7238721,-34.05868897,Legacy,305,IO305
114.7338721,-34.10118897,Legacy,306,IO306
114.7263721,-34.11868897,Legacy,307,IO307
114.7288721,-34.11118897,Legacy,308,IO308
114.7213721,-34.11618897,Legacy,309,IO309
114.7738721,-34.05868897,Legacy,310,IO310
114.7688721,-34.05618897,Legacy,311,IO311
114.7788721,-34.05868897,Legacy,312,IO312
114.7563721,-34.09618897,Legacy,313,IO313
114.7488721,-34.10118897,Legacy,314,IO314
114.7513721,-34.09368897,Legacy,315,IO315
114.7363721,-34.09118897,Legacy,316,IO316
114.7263721,-34.09118897,Legacy,317,IO317
114.7413721,-34.09368897,Legacy,318,IO318
114.7313721,-34.09368897,Legacy,319,IO319
114.7263721,-34.09868897,Legacy,320,IO320
114.4680833,-34.04818333,Deans,321,IO321
114.5438833,-34.03273333,Deans,322,IO322
114.6001,-34.03103333,Deans,323,IO323
114.6406,-33.99836667,Deans,324,IO324
114.7443,-33.99175,Deans,325,IO325
114.6892833,-34.00425,Deans,326,IO326
114.7623833,-34.02946667,Deans,327,IO327
114.8213667,-33.99356667,Deans,328,IO328
114.7266333,-34.06481667,Deans,329,IO329
114.7545,-34.08833333,Deans,330,IO330
114.75005,-34.0984,Deans,331,IO331
114.7344833,-34.09718333,Deans,332,IO332
114.7251333,-34.11301667,Deans,333,IO333
114.7753667,-34.06155,Deans,334,IO334
114.7939833,-34.06686667,Deans,335,IO335
114.8663667,-34.0924,Deans,336,IO336
114.8202333,-34.00536667,Deans,337,IO337
114.92245,-33.97231667,Deans,338,IO338
114.8785,-34.01461667,Deans,339,IO339
114.5377833,-34.14303333,Deans,340,IO340
114.47755,-34.07246667,Deans,341,IO341
114.47515,-34.09581667,Deans,342,IO342
114.6407167,-34.10261667,Deans,343,IO343
114.6744,-34.0844,Deans,344,IO344
114.5513721,-34.02868897,Legacy,345,IO345
114.5463721,-34.02618897,Legacy,346,IO346
114.5413721,-34.02868897,Legacy,347,IO347
114.5463721,-34.03368897,Legacy,348,IO348
114.5963721,-34.02368897,Legacy,349,IO349
114.6038721,-34.02618897,Legacy,350,IO350
114.5963721,-34.03118897,Legacy,351,IO351
114.5988721,-34.03618897,Legacy,352,IO352
114.8390667,-34.05436667,Deans,353,IO353
114.84,-34.06605,Deans,354,IO354
114.9111,-34.05473333,Deans,355,IO355
114.9184667,-34.06956667,Deans,356,IO356
114.928,-34.08496667,Deans,357,IO357
114.4763721,-34.04618897,Legacy,358,IO358
114.4688721,-34.05368897,Legacy,359,IO359
114.4713721,-34.04368897,Legacy,360,IO360
114.7413721,-33.98868897,Legacy,361,IO361
114.7438721,-33.99368897,Legacy,362,IO362
114.7513721,-33.98618897,Legacy,363,IO363
114.6888721,-34.00868897,Legacy,364,IO364
114.7538721,-34.02368897,Legacy,365,IO365
114.7688721,-34.02868897,Legacy,366,IO366
114.7613721,-34.03368897,Legacy,367,IO367
114.7663721,-34.03368897,Legacy,368,IO368
114.5913721,-34.02868897,Legacy,369,IO369
114.6463721,-33.99618897,Legacy,370,IO370
114.6388721,-34.00118897,Legacy,371,IO371
114.6438721,-34.00618897,Legacy,372,IO372
114.7388721,-33.99618897,Legacy,373,IO373
114.7463721,-33.98618897,Legacy,374,IO374
114.7488721,-33.99618897,Legacy,375,IO375
114.7588721,-34.13868897,MBH,377,IO377
114.6388721,-33.99368897,Legacy,378,IO378
114.6813721,-34.08368897,Legacy,379,IO379
