"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone"
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","58.76267","Triakidae","Furgaleus","macki",NA,1,NA,"MBH","-34.128599","114.930865","20200602","09:10","South-west","No-take","c1","46.7","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","9.54400","Carangidae","Seriola","hippos","Check",1,NA,"MBH","-34.125316","114.928838","20200602","09:18","South-west","No-take","c1","44.4","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","3.52333","Gerreidae","Parequula","melbournensis",NA,1,NA,"MBH","-34.125316","114.928838","20200602","09:18","South-west","No-take","c1","44.4","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","30.45867","Labridae","Ophthalmolepis","lineolatus",NA,2,NA,"MBH","-34.125316","114.928838","20200602","09:18","South-west","No-take","c1","44.4","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","4.25400","Labridae","Pseudolabrus","biserialis",NA,10,NA,"MBH","-34.125316","114.928838","20200602","09:18","South-west","No-take","c1","44.4","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","18.90000","Monacanthidae","Meuschenia","galii",NA,1,NA,"MBH","-34.125316","114.928838","20200602","09:18","South-west","No-take","c1","44.4","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","7.35000","Pomacentridae","Chromis","klunzingeri",NA,52,NA,"MBH","-34.125316","114.928838","20200602","09:18","South-west","No-take","c1","44.4","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","48.92600","Scombridae","Sarda","spp",NA,4,NA,"MBH","-34.125316","114.928838","20200602","09:18","South-west","No-take","c1","44.4","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","51.90133","Scorpididae","Neatypus","obliquus",NA,6,NA,"MBH","-34.125316","114.928838","20200602","09:18","South-west","No-take","c1","44.4","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","2.01800","Serranidae","Caesioperca","spp",NA,26,NA,"MBH","-34.125316","114.928838","20200602","09:18","South-west","No-take","c1","44.4","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","58.09000","Triakidae","Furgaleus","macki",NA,1,NA,"MBH","-34.125316","114.928838","20200602","09:18","South-west","No-take","c1","44.4","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","0.53400","Gerreidae","Parequula","melbournensis",NA,2,NA,"MBH","-34.126906","114.925945","20200602","09:27","South-west","No-take","c1","39.3","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","40.76000","Glaucosomatidae","Glaucosoma","hebraicum",NA,3,NA,"MBH","-34.126906","114.925945","20200602","09:27","South-west","No-take","c1","39.3","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","45.82400","Labridae","Coris","auricularis",NA,3,NA,"MBH","-34.126906","114.925945","20200602","09:27","South-west","No-take","c1","39.3","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","32.74000","Labridae","Ophthalmolepis","lineolatus",NA,6,NA,"MBH","-34.126906","114.925945","20200602","09:27","South-west","No-take","c1","39.3","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","10.62600","Labridae","Pseudolabrus","biserialis",NA,8,NA,"MBH","-34.126906","114.925945","20200602","09:27","South-west","No-take","c1","39.3","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","20.76400","Pomacentridae","Chromis","klunzingeri",NA,12,NA,"MBH","-34.126906","114.925945","20200602","09:27","South-west","No-take","c1","39.3","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","51.64067","Scorpididae","Neatypus","obliquus",NA,9,NA,"MBH","-34.126906","114.925945","20200602","09:27","South-west","No-take","c1","39.3","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","48.56000","Sparidae","Chrysophrys","auratus",NA,2,NA,"MBH","-34.126906","114.925945","20200602","09:27","South-west","No-take","c1","39.3","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","48.25600","Triakidae","Furgaleus","macki",NA,1,NA,"MBH","-34.126906","114.925945","20200602","09:27","South-west","No-take","c1","39.3","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","12.83000","Aulopidae","Latropiscis","purpurissatus",NA,1,NA,"MBH","-34.122634","114.920337","20200602","09:44","South-west","No-take","c2","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","21.81667","Carangidae","Pseudocaranx","spp",NA,3,NA,"MBH","-34.122634","114.920337","20200602","09:44","South-west","No-take","c2","44.1","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","4.58200","Cheilodactylidae","Cheilodactylus","gibbosus",NA,1,NA,"MBH","-34.122634","114.920337","20200602","09:44","South-west","No-take","c2","44.1","Hayley","Yes",NA,"National Park Zone",NA
