"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","51.64067","Scorpididae","Neatypus","obliquus",NA,9,"-34.126906","114.925945","20200602","09:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","48.56000","Sparidae","Chrysophrys","auratus",NA,2,"-34.126906","114.925945","20200602","09:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","48.25600","Triakidae","Furgaleus","macki",NA,1,"-34.126906","114.925945","20200602","09:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","12.83000","Aulopidae","Latropiscis","purpurissatus",NA,1,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","21.81667","Carangidae","Pseudocaranx","spp",NA,3,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","56.60933","Cheilodactylidae","Cheilodactylus","gibbosus",NA,3,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","13.14733","Labridae","Coris","auricularis",NA,1,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","27.71267","Labridae","Ophthalmolepis","lineolatus",NA,3,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","16.29133","Labridae","Pseudolabrus","biserialis",NA,1,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","52.69200","Scorpididae","Neatypus","obliquus",NA,10,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
