"campaignid","dataset","planned.or.exploratory","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2020-06_south-west_stereo-BRUVs",NA,"MBH","08 - failed","-34.129336","114.911822","20200602","11:36","South-west","No-take",NA,"41.7",NA,"No","No"
"2020-06_south-west_stereo-BRUVs",NA,"MBH","11 - failed","-34.117769","114.923158","20200602","11:55","South-west","No-take",NA,"46.7",NA,"No","No"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH102","-33.68868897","114.9288721","20201017","06:42:00",NA,NA,NA,"44.1","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","Captains pick","FHA","-33.683135","114.937827","20201017","06:55:00",NA,NA,NA,"44.6","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","Captains pick","FHB","-33.681655","114.957127","20201017","07:02:00",NA,NA,NA,"41.3","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","Captains pick","FHD","-33.686897","114.958507","20201017","07:12:00",NA,NA,NA,"39.5","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","Captains pick","FHE","-33.687267","114.951172","20201017","07:16:00",NA,NA,NA,"42.3","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH31","-33.67368897","114.8238721","20201012","08:27:00",NA,NA,NA,"45.4","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH5","-33.69368897","114.9413721","20201017","08:46:00",NA,NA,NA,"44.5","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH108","-33.76118897","114.9238721","20201017","09:32:00",NA,NA,NA,"44.7","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH6","-33.70618897","114.8213721","20201012","10:50:00",NA,NA,NA,"46","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH95","-33.75868897","114.8913721","20201017","11:07:00",NA,NA,NA,"46.8","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO",NA,"IO272","-34.00868897","114.8138721","20201019","06:56:00",NA,NA,NA,"49.2",NA,NA,"No"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH44","-33.77118897","114.8638721","20201017","11:28:00",NA,NA,NA,"43.3","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH20","-33.78618897","114.8738721","20201017","11:40:00",NA,NA,NA,"43.1","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH7","-33.78368897","114.8788721","20201017","11:45:00",NA,NA,NA,"45","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH34","-33.78618897","114.8838721","20201017","11:51:00",NA,NA,NA,"44.8","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH18","-33.79118897","114.8213721","20201012","13:19:00",NA,NA,NA,"43.5","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH26","-33.81118897","114.8288721","20201012","15:10:00",NA,NA,NA,"44.1","Daphne","Yes","check calibration"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH27","-33.83618897","114.8713721","20201012","15:39:00",NA,NA,NA,"42.9","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO333","-34.11301667","114.7251333","20201022","10:01:00",NA,NA,NA,"127","Rachel","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO332","-34.09718333","114.7344833","20201022","10:33:00",NA,NA,NA,"124","Rachel","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO319","-34.09368897","114.7313721","20201022","10:37:00",NA,NA,NA,"124","Rachel","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO337","-34.00536667","114.8202333","20201019","07:02:00",NA,NA,NA,"43","Daphne","Yes","CALs shit, come back"
