"id","campaignid","sample","family","genus","species","length","range","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",120.39548,3679.42355,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Labridae","Eupetrichthys","angustipes",83.93121,7348.5458,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Mullidae","Parupeneus","chrysopleuron",97.24603,3697.10709,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Myliobatidae","Myliobatis","tenuicaudatus",672.1556,1460.14851,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Pinguipedidae","Parapercis","ramsayi",141.16344,1129.15526,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Platycephalidae","Platycephalus","spp",262.57306,1820.5731,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Platycephalidae","Platycephalus","spp",250.45454,2181.78317,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Platycephalidae","Platycephalus","spp",238.78973,1957.65716,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Platycephalidae","Platycephalus","spp",229.55663,2036.78537,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Rhinobatidae","Trygonorrhina","dumerilii",663.17448,1800.80003,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Gerreidae","Parequula","melbournensis",141.74782,2270.88022,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Gerreidae","Parequula","melbournensis",138.11625,2085.40764,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Austrolabrus","maculatus",100.64878,1220.50332,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Austrolabrus","maculatus",93.32817,2898.55326,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Austrolabrus","maculatus",62.78389,1287.37916,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Choerodon","rubescens",545.60293,3432.67223,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Choerodon","rubescens",508.43966,3694.94794,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Coris","auricularis",221.21202,1372.38228,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Coris","auricularis",222.72226,1808.24559,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Coris","auricularis",278.29174,1379.81618,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Coris","auricularis",237.91267,1794.29136,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Coris","auricularis",271.28521,1051.60757,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Coris","auricularis",210.26058,1562.06464,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Eupetrichthys","angustipes",52.32802,3050.01291,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Eupetrichthys","angustipes",142.07878,1557.21147,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Ophthalmolepis","lineolatus",161.51816,1128.60151,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Ophthalmolepis","lineolatus",223.84932,1964.639,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Ophthalmolepis","lineolatus",273.45386,4093.87085,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Labridae","Ophthalmolepis","lineolatus",227.95941,1775.38841,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Monacanthidae","Meuschenia","freycineti",565.70267,2037.85492,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Mullidae","Upeneichthys","vlamingii",255.66922,3077.70843,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Serranidae","Caesioperca","spp",105.94318,1918.31946,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Serranidae","Caesioperca","spp",130.52771,2622.91802,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Serranidae","Caesioperca","spp",120.26104,2618.7385,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Serranidae","Caesioperca","spp",107.53442,1981.39075,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH108","2020-10_south-west_stereo-BRUVs","FH108","Serranidae","Caesioperca","spp",130.78233,1308.34465,"FH","MBH",-33.76118897,114.9238721,20201017,09:32:00,"South-west","Fished","C.FH.9",44.7,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Dasyatidae","Bathytoshia","brevicaudata",911.25511,1862.99236,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Heterodontidae","Heterodontus","portusjacksoni",655.5563,2251.92243,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Labridae","Austrolabrus","maculatus",96.59168,1368.73767,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Labridae","Ophthalmolepis","lineolatus",283.84034,1754.80472,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Labridae","Ophthalmolepis","lineolatus",192.70778,2650.95559,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Labridae","Ophthalmolepis","lineolatus",209.59055,1349.97895,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Labridae","Ophthalmolepis","lineolatus",219.36169,1361.18238,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Labridae","Pseudolabrus","biserialis",118.27739,1260.6484,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",74.61731,1849.40825,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",74.61731,1849.40825,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",74.61731,1849.40825,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",74.61731,1849.40825,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",74.61731,1849.40825,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",55.10325,1616.37418,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",55.10325,1616.37418,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",55.10325,1616.37418,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",55.10325,1616.37418,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",55.10325,1616.37418,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",47.3806,1859.83941,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",47.3806,1859.83941,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",47.3806,1859.83941,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",47.3806,1859.83941,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",47.3806,1859.83941,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",52.23468,1363.89616,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",52.23468,1363.89616,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",52.23468,1363.89616,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",52.23468,1363.89616,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",52.23468,1363.89616,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",73.77931,786.04161,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",73.77931,786.04161,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
"2020-10_south-west_stereo-BRUVs.FH11","2020-10_south-west_stereo-BRUVs","FH11","Pomacentridae","Chromis","klunzingeri",73.77931,786.04161,"FH","MBH",-33.89868897,114.9388721,20201029,14:48:00,"South-west","Fished","C.FH.18",42.3,"Rachel","Yes","Yes","NA","NA"
