"sample","distance.to.ramp"
"01",13.6083530192968
"02",14.0063885102948
"03",14.0488406037962
"04",14.7467891542619
"05",14.3321876010289
"06",14.453531004296
"07",14.4573297353596
"08",14.7625482420526
"09",15.2629362078686
"10",15.291500199922
"11",14.9912201342972
"12",13.4477921618731
"13",13.6353446279756
"14",13.9574643643637
"15",15.1931841220986
"16",15.3524955728911
"17",13.9490760496439
"18",14.0191224527545
"20",21.6003700941527
"21",21.9344601030811
"22",21.8639832798859
"23",21.8781464473762
"24",20.8316067517453
"25",20.5502021162824
"26",20.829193858631
"27",20.6411944565664
"28",18.6982983364536
"29",18.3289291614459
"30",18.1751135929063
"31",18.4240525998241
"32",18.3720305640102
"33",18.0664444557564
"34",17.9145167191906
"35",17.4488933334306
"36",17.0488571692215
"37",17.2747031140268
"38",16.8050999051033
"39",16.4462306274357
"40",16.6788478041507
"IO15",13.9378694647085
"FH24",14.0990010557809
"IO34",13.5604913107586
"IO92",15.4360760184471
"IO122",20.6406928800608
"IO126",20.9710875162023
"IO153",11.2889249583967
"IO195",16.7483560915445
"IO220",15.4199879843144
"IO226",15.8321913193087
"IO310",21.4114002269867
"IO311",21.747700391632
"FH14",14.867921557948
"FH32",5.45351000717209
"FH54",11.2336127494527
"IO354",16.2728660201656
"IO363",22.1036550263438
"IO365",22.1763767895113
"IO37",28.3167247082184
"IO40",28.4756731674858
"IO58",25.1904118097998
"IO110",28.8917129004484
"IO263",10.550128277879
"IO264",11.2612218556874
"IO269",16.3412167021148
"IO62",25.9340669484138
"IO96",28.4165593216684
"IO180",26.4819005756712
"IO253",26.5983840098156
"IO277",34.2628619990818
"IO278",35.1116256013274
"IO300",31.5371983646498
"IO16",14.5882346120165
"IO350",35.9026915118553
"FH41",14.5608466737679
"FH45",18.4444859676228
"FH48",17.4788923668952
"FH56",11.5985246978274
"FH57",18.0356882459857
"FH59",16.4108714799416
"FH60",16.0540568940256
"FH61",11.5815148426304
"FH63",16.6677980086155
"FHC03",16.4842602786595
"IO5",22.6036704311771
"IO134",11.9867428124918
"IO146",15.7287160520324
"IO147",14.7632828879332
"IO199",16.0158524890675
"IO217",10.7476869140651
"IO356",11.0671177289888
"IO293",24.0266708883675
"FH5",5.71762187458261
"FH7",13.0537401661136
"FH20",13.2404671121975
"FH34",12.5214103394941
"FH44",15.0083658199089
"FH95",13.8212991871034
"FH102",6.57027330641168
"FH108",12.1374977701669
"FHA",5.59973460088931
"FHB",3.8453125642486
"FHD",3.96406548174169
"FHE",4.59042772543327
"FH28",11.677111505213
"FH30",13.4110973376081
"FH46",11.6338406451812
"FH50",6.13113307575937
"FH64",6.33696324512195
"FH82",6.93391950386998
"FH93",14.2968856387802
"FHC",3.11986526241333
"FH6",16.6654489380646
"FH18",17.083605489606
"FH26",15.5744459677915
"FH27",11.013842556197
"FH31",15.9522964731035
"FH37",17.4757396909525
"FH58",14.3473862397268
"FH65",17.106318809494
"FH70",13.8723183090771
"FH74",18.8266831094507
"FH89",18.1152743041527
"FH96",14.8697270781338
"FH8",18.9814876147391
"FH15",17.6853022543722
"FH17",10.6348826867966
"FH21",18.0132551318092
"FH23",15.7443364759622
"FH71",15.8062985216663
"FH79",16.7634014081873
"FH83",14.2640246951575
"FH84",19.5733096092012
"FH92",10.853306234661
"FH110",16.3201460281137
"FH111",10.3617441487177
"IO133",11.5034591921875
"FHC01",17.2467073755695
"FHC02",17.934391663499
"IO337",15.8413516336796
"IO338",6.64466350596188
"IO339",10.7300748731609
"IO95",28.0947496844467
"IO98",28.7417122530539
"FH39",7.19051111585555
"FH49",9.5456022847997
"FH66",7.06967123653468
"FH85",10.0785704763073
"IO323",36.3101723852996
"IO351",36.6530059066946
"IO364",27.9285758217994
"IOCP11-1",27.1419268119541
"IOCP11-2",27.5570730580396
"IOCP2311",36.0411061857806
"IOREDO344",30.9912457329848
"IO307",28.2504083224666
"IO1",21.8826985303383
"IO4",22.3396920480955
"IO158",15.9124947027773
"IO207",20.4444221775044
"IO237",11.2924453577482
"IO312",20.9815377013941
"IO335",20.0582499397026
"IO357",12.0231363223587
"IO361",23.0206476866972
"IO374",22.5642354278759
"FH9",13.4158859825667
"FH10",9.67144788014268
"FH42",16.4440548837845
"IO3",21.3468607036796
"IO80",14.8597130262219
"IO81",15.1524020708847
"IO91",14.5720746378402
"IO123",20.436475547265
