"","cluster","cluster.new","number","n","coords.x1","coords.x2","sample","dataset","class"
"424","6188","C.IO.64","90","1",114.92387207,-34.123688965,"IO90","IO","MBH"
"425","6188","C.IO.64","89","1",114.92887207,-34.131188965,"IO89","IO","MBH"
"426","6252","C.IO.65","154","1",114.88137207,-34.051188965,"IO154","IO","MBH"
"427","6252","C.IO.65","156","1",114.87637207,-34.048688965,"IO156","IO","MBH"
"428","6252","C.IO.65","155","1",114.88387207,-34.043688965,"IO155","IO","MBH"
"429","6252","C.IO.65","153","1",114.88887207,-34.046188965,"IO153","IO","MBH"
"430","6381","C.IO.66","31","1",114.90887207,-34.131188965,"IO31","IO","MBH"
"431","6381","C.IO.66","29","1",114.89887207,-34.133688965,"IO29","IO","MBH"
"432","6381","C.IO.66","30","1",114.90637207,-34.126188965,"IO30","IO","MBH"
"433","6627","C.IO.67","22","1",114.52137207,-34.128688965,"IO22","IO","MBH"
"434","6627","C.IO.67","21","1",114.52887207,-34.138688965,"IO21","IO","MBH"
"435","6627","C.IO.67","23","1",114.51887207,-34.136188965,"IO23","IO","MBH"
"436","6627","C.IO.67","19","1",114.52887207,-34.128688965,"IO19","IO","MBH"
"437","6627","C.IO.67","118","1",114.51387207,-34.136188965,"IO118","IO","MBH"
"438","6627","C.IO.67","24","1",114.52137207,-34.141188965,"IO24","IO","MBH"
"439","6627","C.IO.67","20","1",114.51637207,-34.131188965,"IO20","IO","MBH"
"440","6711","C.IO.68","96","1",114.73637207,-34.136188965,"IO96","IO","MBH"
"441","6711","C.IO.68","95","1",114.73387207,-34.126188965,"IO95","IO","MBH"
"442","6711","C.IO.68","98","1",114.73137207,-34.133688965,"IO98","IO","MBH"
"443","6711","C.IO.68","97","1",114.72887207,-34.128688965,"IO97","IO","MBH"
"444","6711","C.IO.68","110","1",114.72887207,-34.141188965,"IO110","IO","MBH"
"445","687","C.IO.30","109","1",114.67387207,-34.056188965,"IO109","IO","MBH"
"446","687","C.IO.30","108","1",114.66887207,-34.051188965,"IO108","IO","MBH"
"447","687","C.IO.30","105","1",114.66887207,-34.063688965,"IO105","IO","MBH"
"448","687","C.IO.30","106","1",114.66387207,-34.058688965,"IO106","IO","MBH"
"449","687","C.IO.30","107","1",114.67637207,-34.063688965,"IO107","IO","MBH"
"450","7","C.IO.7","208","1",114.79887207,-34.066188965,"IO208","IO","Legacy"
"451","7","C.IO.7","204","1",114.78637207,-34.066188965,"IO204","IO","Legacy"
"452","7","C.IO.7","207","1",114.78637207,-34.061188965,"IO207","IO","Legacy"
"453","7","C.IO.7","206","1",114.79137207,-34.063688965,"IO206","IO","Legacy"
"454","7","C.IO.7","209","1",114.79137207,-34.071188965,"IO209","IO","Legacy"
"455","7","C.IO.7","335","1",114.793983333333,-34.0668666666667,"IO335","IO","Deans"
"456","7","C.IO.7","205","1",114.80137207,-34.071188965,"IO205","IO","Legacy"
"457","715","C.IO.31","114","1",114.74387207,-34.063688965,"IO114","IO","MBH"
"458","715","C.IO.31","115","1",114.73637207,-34.053688965,"IO115","IO","MBH"
"459","715","C.IO.31","113","1",114.73887207,-34.058688965,"IO113","IO","MBH"
"460","715","C.IO.31","111","1",114.74137207,-34.051188965,"IO111","IO","MBH"
"461","715","C.IO.31","116","1",114.74637207,-34.058688965,"IO116","IO","MBH"
"462","715","C.IO.31","112","1",114.74637207,-34.053688965,"IO112","IO","MBH"
"463","715","C.IO.31","117","1",114.73887207,-34.063688965,"IO117","IO","MBH"
"464","7325","C.IO.69","60","1",114.76887207,-34.146188965,"IO60","IO","MBH"
"465","7325","C.IO.69","59","1",114.76637207,-34.141188965,"IO59","IO","MBH"
"466","7325","C.IO.69","58","1",114.77387207,-34.136188965,"IO58","IO","MBH"
"467","7325","C.IO.69","10","1",114.77387207,-34.143688965,"IO10","IO","MBH"
"468","7325","C.IO.69","377","1",114.75887207,-34.138688965,"IO377","IO","MBH"
"469","7325","C.IO.69","62","1",114.76637207,-34.133688965,"IO62","IO","MBH"
"470","7325","C.IO.69","61","1",114.76387207,-34.146188965,"IO61","IO","MBH"
"471","7413","C.IO.70","6","1",114.49387207,-34.148688965,"IO6","IO","MBH"
"472","7413","C.IO.70","7","1",114.48887207,-34.138688965,"IO7","IO","MBH"
"473","7413","C.IO.70","8","1",114.48637207,-34.146188965,"IO8","IO","MBH"
"474","7413","C.IO.70","9","1",114.48387207,-34.138688965,"IO9","IO","MBH"
"475","8","C.IO.8","334","1",114.775366666667,-34.06155,"IO334","IO","Deans"
"476","8","C.IO.8","203","1",114.77137207,-34.063688965,"IO203","IO","Legacy"
"477","8","C.IO.8","311","1",114.76887207,-34.056188965,"IO311","IO","Legacy"
"478","8","C.IO.8","312","1",114.77637207,-34.066188965,"IO312","IO","Legacy"
"479","8","C.IO.8","312","1",114.77887207,-34.058688965,"IO312","IO","Legacy"
"480","8","C.IO.8","310","1",114.77387207,-34.058688965,"IO310","IO","Legacy"
"481","855","C.IO.32","140","1",114.69137207,-33.983688965,"IO140","IO","MBH"
"482","855","C.IO.32","127","1",114.68887207,-33.971188965,"IO127","IO","MBH"
"483","855","C.IO.32","129","1",114.69637207,-33.973688965,"IO129","IO","MBH"
"484","855","C.IO.32","142","1",114.69637207,-33.978688965,"IO142","IO","MBH"
"485","855","C.IO.32","128","1",114.69137207,-33.976188965,"IO128","IO","MBH"
"486","855","C.IO.32","141","1",114.69387207,-33.968688965,"IO141","IO","MBH"
"487",NA,NA,"235",NA,114.93637207,-34.091188965,"IO235","IO","Legacy"
"488",NA,NA,"365",NA,114.75387207,-34.023688965,"IO365","IO","Legacy"
"489",NA,NA,"258",NA,114.91387207,-33.966188965,"IO258","IO","Legacy"
"490",NA,NA,"317",NA,114.72637207,-34.091188965,"IO317","IO","Legacy"
