"","campaignid","sample","broad.bryozoa","broad.consolidated","broad.hydroids","broad.macroalgae","broad.octocoral.black","broad.reef","broad.seagrasses","broad.sponges","broad.stony.corals","broad.unconsolidated","fov.facing.up","fov.limited","fov.open","mean.relief","sd.relief","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone"
"21","2020-06_south-west_stereo-BRUVs","21",0,48,0,32,0,100,0,20,0,0,0,7.5,92.5,2.28,0.458257569495584,NA,"MBH",-34.128151,114.817448,20200603,"08:24","South-west","No-take","c8",52.4,"Hayley","Yes",NA,"National Park Zone",NA
"22","2020-06_south-west_stereo-BRUVs","22",0,4.34782608695652,0,56.5217391304348,0,69.5652173913044,0,8.69565217391304,0,30.4347826086957,0,7.69230769230769,92.3076923076923,2.04545454545455,0.843872746402686,NA,"MBH",-34.126271,114.819552,20200603,"08:32","South-west","No-take","c8",51.9,"Hayley","Yes",NA,"National Park Zone",NA
"23","2020-06_south-west_stereo-BRUVs","23",0,13.0434782608696,0,4.34782608695652,0,100,0,82.6086956521739,0,0,0,20,80,2.56521739130435,0.506869801869702,NA,"MBH",-34.124217,114.817017,20200603,"08:38","South-west","No-take","c8",51.3,"Hayley","Yes",NA,"National Park Zone",NA
"24","2020-06_south-west_stereo-BRUVs","24",0,15,0,40,0,85,0,30,0,15,0,2.5,97.5,2.1,0.640723275517187,NA,"MBH",-34.118739,114.826402,20200603,"08:47","South-west","No-take","c7",49.8,"Hayey","Yes",NA,"National Park Zone",NA
"25","2020-06_south-west_stereo-BRUVs","25",0,40.9090909090909,0,36.3636363636364,0,100,0,22.7272727272727,0,0,0,7.5,92.5,2.45454545454545,0.509647191437625,NA,"MBH",-34.116829,114.828432,20200603,"08:54","South-west","No-take","c7",48.4,"Hayley","Yes",NA,"National Park Zone",NA
"26","2020-06_south-west_stereo-BRUVs","26",0,20.6896551724138,0,51.7241379310345,0,82.7586206896552,0,10.3448275862069,0,17.2413793103448,0,2.5,97.5,2.03448275862069,0.625799980635623,NA,"MBH",-34.120881,114.828907,20200603,"09:02","South-west","No-take","c7",48.4,"Hayley","Yes",NA,"National Park Zone",NA
"27","2020-06_south-west_stereo-BRUVs","27",0,44.8275862068966,0,34.4827586206897,0,82.7586206896553,0,3.44827586206897,0,17.2413793103448,0,0,100,2.06896551724138,0.65088041927611,NA,"MBH",-34.121824,114.832898,20200603,"10:19","South-west","No-take","c7",47.8,"Hayley","Yes",NA,"National Park Zone",NA
"28","2020-06_south-west_stereo-BRUVs","28",0,19.2307692307692,0,76.9230769230769,0,100,0,3.84615384615385,0,0,0,0,100,2.15384615384615,0.36794648440312,NA,"MBH",-34.112916,114.852137,20200603,"10:27","South-west","No-take","c6",44.7,"Hayley","Yes",NA,"National Park Zone",NA
"29","2020-06_south-west_stereo-BRUVs","29",0,0,0,75,0,95.8333333333334,4.16666666666667,16.6666666666667,0,4.16666666666667,0,0,100,2.45833333333333,0.588229965875272,NA,"MBH",-34.111084,114.855648,20200603,"10:31","South-west","No-take","c6",43,"Hayley","Yes",NA,"National Park Zone",NA
"30","2020-06_south-west_stereo-BRUVs","30",0,0,0,86.3636363636364,0,100,4.54545454545455,9.09090909090909,0,0,0,5,95,2.36363636363636,0.492365963917331,NA,"MBH",-34.112094,114.85946,20200603,"10:37","South-west","No-take","c6",42.9,"Hayley","Yes",NA,"National Park Zone",NA
"31","2020-06_south-west_stereo-BRUVs","31",0,25.9259259259259,0,40.7407407407407,0,66.6666666666666,0,0,0,33.3333333333333,0,0,100,1.77777777777778,0.933699561847852,NA,"MBH",-34.116007,114.860738,20200603,"10:42","South-west","No-take","c6",44.4,"Hayley","Yes",NA,"National Park Zone",NA
"32","2020-06_south-west_stereo-BRUVs","32",0,0,0,87.5,0,87.5,0,0,0,12.5,0,0,100,2.375,0.824225591744734,NA,"MBH",-34.130076,114.86109,20200603,"10:49","South-west","No-take","c5",43.2,"Hayley","Yes",NA,"National Park Zone",NA
"33","2020-06_south-west_stereo-BRUVs","33",0,24,0,28,0,64,0,12,0,36,0,0,100,1.68,1.14455231422596,NA,"MBH",-34.133067,114.8627,20200603,"10:54","South-west","No-take","c5",43.6,"Hayley","Yes",NA,"National Park Zone",NA
"34","2020-06_south-west_stereo-BRUVs","34",0,56,0,28,0,88,0,4,0,12,0,0,100,1.76,0.66332495807108,NA,"MBH",-34.131334,114.866053,20200603,"12:18","South-west","No-take","c5",42.7,"Hayley","Yes",NA,"National Park Zone",NA
"35","2020-06_south-west_stereo-BRUVs","35",0,3.7037037037037,0,81.4814814814815,0,92.5925925925926,3.7037037037037,3.7037037037037,0,7.40740740740741,0,0,100,2.44444444444444,0.640512615220349,NA,"MBH",-34.134801,114.869348,20200603,"12:23","South-west","No-take","c5",43.8,"Hayley","Yes",NA,"National Park Zone",NA
"36","2020-06_south-west_stereo-BRUVs","36",0,0,0,8,0,8,0,0,0,92,0,2.5,97.5,0.84,0.850490054811538,NA,"MBH",-34.130484,114.878263,20200603,"12:29","South-west","No-take","c4",42.2,"Hayey","Yes",NA,"National Park Zone",NA
"37","2020-06_south-west_stereo-BRUVs","37",0,0,0,73.9130434782609,0,82.6086956521739,4.34782608695652,4.34782608695652,0,17.3913043478261,0,0,100,2.1304347826087,0.694415897524803,NA,"MBH",-34.126354,114.878937,20200603,"12:34","South-west","No-take","c4",41.2,"Hayley","Yes",NA,"National Park Zone",NA
"38","2020-06_south-west_stereo-BRUVs","38",0,26.3157894736842,0,26.3157894736842,0,63.1578947368421,0,10.5263157894737,0,36.8421052631579,0,0,100,1.89473684210526,0.936585811581694,NA,"MBH",-34.127912,114.883938,20200603,"12:39","South-west","No-take","c4",41.8,"Hayley","Yes",NA,"National Park Zone",NA
"39","2020-06_south-west_stereo-BRUVs","39",0,4,0,68,0,76,0,4,0,24,0,0,100,2.12,0.781024967590666,NA,"MBH",-34.132294,114.884797,20200603,"12:42","South-west","No-take","c4",42.2,"Hayley","Yes",NA,"National Park Zone",NA
"40","2020-06_south-west_stereo-BRUVs","40",0,0,0,78.5714285714286,0,100,0,21.4285714285714,0,0,0,0,100,2.46428571428571,0.50787450018337,NA,"MBH",-34.133669,114.880443,20200603,"12:46","South-west","No-take","c4",41.2,"Hayley","Yes",NA,"National Park Zone",NA
"41","2020-06_south-west_stereo-BRUVs","08 - failed",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"MBH",-34.129336,114.911822,20200602,"11:36","South-west","No-take","c3",41.7,NA,"No","No","National Park Zone",NA
