OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
IO123	5	1	1639.12802	91.22388	1834.03987	104.00000
IO123	6	0	1534.60860	132.26866	1787.03043	148.66418
IO123	6	1	1395.93075	64.43284	1637.60756	80.49254
IO123	7	0	1547.19203	353.79851	1695.75551	404.85075
IO123	7	1	1376.61490	273.87313	1514.43337	308.80597
IO123	8	0	662.60756	121.08955	705.28646	168.52239
IO123	8	1	903.36306	268.85075	922.87303	306.88060
IO123	9	0	898.51731	39.29104	1278.43966	59.77612
IO123	9	1	727.60441	36.60448	1111.89192	69.17910
IO123	10	0	1519.80588	535.95522	1296.07030	605.74627
IO123	10	1	1694.74816	557.44776	1472.69150	636.64179
IO123	11	0	1820.15740	561.28358	1895.15215	644.35075
IO123	11	1	1680.47219	573.03731	1760.16789	648.38060
IO123	12	0	1621.43442	325.58955	1746.50787	373.18657
IO123	12	1	1506.93284	281.26119	1608.83736	323.48507
IO123	13	0	599.93494	771.50746	431.89612	796.25373
IO123	13	1	641.73977	773.02985	488.97901	800.95522
IO123	14	0	1249.77859	147.31343	1384.56139	177.29851
IO123	14	1	1545.65897	228.71642	1637.71563	269.59701
IO123	15	0	1228.41658	652.80597	865.97901	718.56716
IO125	0	0	1351.85729	370.74627	173.26338	451.34328
IO125	1	0	1351.58237	160.66418	1358.63379	116.70149
IO125	1	1	1514.10073	160.32836	1531.56139	100.24627
IO125	2	0	1728.51609	474.81356	1917.52086	408.00847
IO125	3	0	1001.81952	173.71642	831.94229	183.74627
IO125	3	1	590.53305	368.30597	434.30535	393.63433
IO125	4	0	797.81322	312.53731	592.69570	340.93284
IO125	4	1	992.23085	345.78358	815.65477	357.05224
IO125	5	0	480.18993	687.88060	421.05561	694.29851
IO125	5	1	359.56034	667.83582	292.11542	681.86567
IO125	6	0	898.56377	624.00000	504.77116	631.64407
IO125	6	1	726.28605	444.07627	305.12515	464.82203
IO125	7	0	551.72706	496.09322	495.86412	505.12712
IO125	7	1	424.21097	420.82203	408.86412	440.50000
IO125	8	0	1296.00477	627.52542	796.73897	649.25424
IO125	8	1	1496.27890	460.86017	1018.53039	475.40678
IO125	9	0	1779.69011	524.16949	1355.55066	495.56780
IO125	10	0	686.14779	144.00424	223.96663	204.95339
IO125	10	1	948.21097	176.73729	414.08343	244.75424
IO125	11	0	1136.56257	293.07203	381.78903	360.18220
IO125	11	1	1432.11204	342.20763	674.68892	388.10169
IO125	12	0	704.07032	571.58898	472.25030	599.98305
IO125	12	1	396.99046	580.18220	185.74493	612.21186
IO125	13	0	1699.50298	555.49153	1344.34923	556.42373
IO125	13	1	1444.01311	566.47034	1087.60548	583.81356
IO125	14	0	599.57807	746.32203	235.90703	759.41525
IO125	14	1	353.82479	698.85593	17.16329	726.94915
IO125	15	0	1616.13349	471.39407	1308.28725	469.57627
IO125	15	1	1407.89273	448.12712	1088.58999	439.83051
IO125	16	0	1298.30036	518.25424	910.59952	521.27119
IO125	16	1	1087.86532	498.37288	675.82837	530.11017
IO125	17	0	1473.25983	369.05932	1436.66031	340.86017
IO125	17	1	1679.46126	404.62288	1598.63886	387.61864
IO125	18	0	211.70679	324.69068	76.85340	399.84322
IO125	19	0	892.02265	608.55508	384.22884	627.47881
IO125	19	1	650.51609	479.72034	102.50060	532.56780
IO125	20	0	1303.12753	563.86441	1108.85221	559.56780
IO125	20	1	1504.18474	465.50000	1284.29321	442.45763
IO125	21	0	954.06555	529.19068	613.94875	545.61441
IO125	22	0	1385.05125	456.90678	885.19070	499.36441
IO125	23	0	254.01669	465.63559	2.28844	511.39831
IO125	24	0	1618.92133	451.21610	1251.86174	480.33051
IO125	24	1	1407.91657	600.22881	1041.76281	658.05932
IO125	25	0	1400.94517	448.83898	1147.69726	437.43220
IO125	25	1	1534.39571	336.83898	1302.67461	322.27119
IO125	26	0	1343.94041	489.90678	935.51609	503.03814
IO125	27	0	1128.18236	517.00000	731.82837	552.36441
IO125	27	1	854.15733	478.36017	516.36710	501.23729
IO125	28	0	499.86055	444.28390	521.07032	461.40254
IO125	28	1	351.49344	462.97034	395.01549	486.95339
IO125	29	0	1287.87723	584.37288	950.72110	597.43220
IO125	29	1	1086.40286	534.58475	728.69130	549.91949
IO125	30	0	631.32539	960.04661	199.89392	954.12288
IO125	31	0	943.02503	811.52754	318.99046	800.13559
IO125	31	1	726.51609	667.19280	210.69845	683.38983
IO125	32	0	477.42312	596.43220	268.33492	618.86017
IO125	32	1	233.36234	553.52966	48.82002	583.05085
IO125	33	0	929.33373	393.63983	788.08343	383.43644
IO125	33	1	1054.19547	200.19492	913.79499	184.37288
IO125	34	0	1259.76520	935.22881	905.30989	956.53390
IO125	34	1	1018.83194	1021.36441	703.54827	1029.72034
IO125	35	0	1293.49821	718.86017	883.71633	733.34746
IO125	35	1	1098.69726	582.56780	727.92968	592.56780
IO125	36	0	987.98212	568.24576	677.15375	595.83898
IO125	36	1	854.37783	692.17161	481.49225	733.12712
IO125	37	0	1241.14422	711.43220	863.49225	734.40678
IO125	37	1	980.14541	644.67797	643.97497	642.80508
IO125	38	0	1401.83433	863.05085	1063.13945	865.92373
IO125	39	0	1438.28248	1025.83051	925.43266	1053.05932
IO125	40	0	1189.52086	286.19068	561.42193	335.83898
IO125	40	1	1454.99642	346.39407	904.01430	379.88983
IO125	41	0	879.67700	432.23729	797.80930	437.47034
IO125	41	1	591.08820	501.04237	521.99762	522.62076
IO125	42	0	1292.72944	215.02119	847.69726	274.64831
IO125	42	1	1089.52563	273.96610	688.35280	338.11017
IO125	43	0	1328.26460	581.18220	969.79738	623.10593
IO125	44	0	1572.01154	791.11940	1639.40609	771.99254
IO125	44	1	1728.48583	762.57463	1772.37566	762.58955
IO125	45	0	64.80588	325.06716	567.21931	332.94776
IO125	46	0	1304.39349	453.17164	570.10913	498.09701
IO125	46	1	1855.86569	301.92537	1020.52781	334.36567
IO125	47	0	1383.23400	570.64179	1044.87618	580.17164
IO125	47	1	1108.61385	585.70896	880.10913	601.95522
IO125	48	0	1341.46590	566.16418	1729.28017	517.38806
IO125	48	1	1294.87618	565.40299	1668.83945	521.70149
IO125	49	0	1744.16789	711.73134	1768.46380	706.53731
IO125	49	1	1617.99790	720.35821	1628.69465	710.34328
IO125	50	0	1589.54355	778.77612	1748.31375	770.86567
IO125	50	1	1656.53200	773.95522	1825.37566	763.25373
IO125	51	0	1342.02413	586.49254	884.17314	610.35821
IO125	51	1	1184.12277	671.23881	712.16894	704.49254
IO125	52	0	375.68730	915.97015	295.40294	898.53731
IO125	52	1	239.67786	922.96269	196.34732	913.31343
IO125	53	0	1273.47429	626.70149	1097.69465	616.80597
IO125	53	1	672.22665	421.08955	323.84680	468.69403
IO125	54	0	1412.54774	838.26119	961.39559	873.17164
IO125	55	0	746.29066	784.28358	343.67051	834.11940
IO125	56	0	924.96957	524.25373	1186.19727	493.71642
IO125	56	1	1388.54774	491.65672	1703.64323	451.61194
IO125	57	0	832.38615	612.29851	299.55089	654.02239
IO125	57	1	1540.27807	397.32836	901.83211	427.96269
IO125	58	0	1279.85414	1026.26866	1145.30325	1025.59701
IO125	59	0	1343.53305	923.43284	1122.51836	950.19403
IO201	0	0	982.50495	1039.60396	380.19802	994.45545
IO201	1	0	456.23762	793.66337	352.87129	746.13861
IO201	2	0	535.84158	809.10891	444.35644	763.96040
IO201	3	0	273.26733	651.08911	367.12871	615.44554
IO201	4	0	114.35644	225.17822	282.31683	224.87129
IO201	4	1	370.99010	241.21782	469.44554	235.26733
IO201	5	0	1115.64356	847.12871	666.53465	819.80198
IO201	6	0	1666.93069	660.59406	1561.18812	685.54455
IO201	7	0	1154.41763	388.88060	154.12382	338.59328
IO201	7	1	1836.39035	449.50373	1033.07555	431.53358
IO201	8	0	1535.29591	356.84328	1852.50787	367.60448
IO201	8	1	1307.13221	378.00000	1576.49528	378.68657
IO201	9	0	1617.02970	609.50495	1480.39604	635.64356
IO201	10	0	1256.70619	382.25746	649.13746	358.65672
IO201	10	1	667.09024	103.76866	229.52046	75.05597
IO201	11	0	247.12871	853.06931	87.92079	777.02970
IO201	12	0	1096.63366	924.35644	553.66337	901.78218
IO201	13	0	891.08911	849.50495	660.59406	853.06931
IO201	14	0	1404.35644	874.45545	1309.30693	881.58416
IO201	15	0	147.32673	930.29703	54.65347	840.00000
FH109	0	0	1813.06018	104.43686	463.40589	65.11945
FHD	0	0	837.62120	616.84328	919.13116	549.03731
FHD	0	1	853.40294	670.91045	943.64323	600.75373
FHD	1	0	799.56558	565.61940	579.74187	503.67164
FHD	1	1	960.74082	558.56716	729.16474	496.95522
FHD	2	0	670.89192	540.00000	376.74711	483.58209
FHD	2	1	850.19937	604.47761	580.23085	544.02985
FHD	3	0	1306.03148	701.20896	1068.19517	633.10448
FHD	3	1	1430.27072	815.05224	1148.11123	758.02985
FHD	4	0	80.58762	447.31343	54.39664	402.98507
FHD	5	0	1180.39979	833.61940	771.68206	777.67164
FHD	5	1	1031.31270	823.54478	614.53620	759.87313
FHD	6	0	184.65373	396.14179	32.23505	350.14179
FHD	6	1	342.47114	490.84328	187.36621	436.78358
FHD	7	0	1068.90766	868.55224	721.32949	809.50000
FHD	7	1	966.15845	854.78358	588.35992	787.67164
FHD	8	0	1230.59182	885.23134	798.33683	826.61940
FHD	8	1	1138.92340	802.95522	685.51417	747.02985
FHD	9	0	411.39874	560.94030	177.33054	504.82836
FHD	9	1	529.25813	596.87313	295.18993	536.05970
FHD	10	0	1187.89402	836.19403	772.26128	773.73134
FHD	10	1	1337.98846	925.85821	971.71563	866.41791
FHD	11	0	1101.93075	845.21642	699.09759	783.80597
FHD	11	1	1284.93179	787.79104	936.83106	737.46269
FHD	12	0	404.95278	668.95522	12.08814	598.43284
FHD	12	1	1420.35677	606.49254	1003.31584	564.17910
FHD	13	0	1154.41763	737.46269	741.40609	681.04478
FHD	13	1	1696.36936	574.25373	1347.82791	519.85075
FHD	14	0	1245.07870	580.29851	1321.63694	501.71642
FHD	14	1	1764.86884	558.13433	1879.70619	475.52239
FHD	15	0	217.58657	816.04478	110.80797	727.38806
FHD	16	0	803.86149	612.53731	505.68730	562.16418
FHD	16	1	1208.81427	711.26866	884.44911	646.79104
FHD	17	0	543.96642	705.22388	201.46905	644.77612
FHD	17	1	1192.69675	878.50746	695.06821	838.20896
FHD	18	0	179.30745	767.68657	14.10283	701.19403
FHD	18	1	733.34732	753.58209	449.27597	691.11940
FHD	19	0	1343.79853	868.43284	934.81637	822.08955
FHD	19	1	1581.53200	517.83582	1327.68101	443.28358
FHD	20	0	1476.76810	751.56716	1563.39979	695.14925
FHD	20	1	1702.41343	729.40299	1857.54460	672.98507
FHD	21	0	1606.71563	591.77612	1133.33473	528.90299
FHD	21	1	1678.23715	587.74627	1181.68730	519.83582
FHD	22	0	22.16159	544.02985	46.33788	483.58209
FHD	22	1	1136.28541	666.94030	914.66946	594.40299
FHD	23	0	124.91081	624.62687	342.49738	562.16418
FHD	23	1	789.75866	578.28358	1027.49213	501.71642
FHD	24	0	0.00000	743.50746	157.14586	664.92537
FHD	24	1	950.93389	624.62687	1077.85939	562.16418
FHE	0	0	255.86569	833.31343	213.43232	770.70896
FHE	0	1	662.83316	826.26119	608.31165	788.84328
FHE	1	0	1304.15845	467.94776	1124.87933	458.33582
FHE	1	1	1394.81952	470.97015	1237.70199	465.38806
FHE	2	0	955.89402	497.81343	935.07765	483.58209
FHE	2	1	1024.39349	487.73881	1012.64323	483.58209
FHE	3	0	1003.13641	553.77612	679.44596	531.76119
FHE	3	1	1142.15005	562.84328	811.40818	542.84328
FHE	4	0	1123.24659	459.81343	1128.98216	455.26866
FHE	4	1	1204.84155	463.84328	1206.54774	457.28358
FHE	5	0	1330.09234	463.76866	1418.54774	465.17910
FHE	5	1	1283.75446	461.75373	1367.17314	462.15672
FHE	6	0	388.83526	466.98507	707.23924	451.82836
FHE	7	0	182.32949	445.82836	552.10808	436.71642
