Sample,Latitude,Longitude,Date,Time,Time.out,Planned.or.exploratory,Site,Location,Status,Commonwealth.zone,Depth,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Successful.length,Observer,Left.cam,Right.cam,Rear.cam,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Video.notes,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes
30,-34.112094,114.85946,20200603,10:37,11:47,MBH,c6,South-west,No-take,National Park Zone,42.9,Hayley ,24.11.20,Brooke,Yes,,Hayley ,373,374,423,1,,,,,,,,
31,-34.116007,114.860738,20200603,10:42,11:55,MBH,c6,South-west,No-take,National Park Zone,44.4,Hayley ,24.11.20,Brooke,Yes,,Hayley ,375,376,416,1,,,,,,,,
32,-34.130076,114.86109,20200603,10:49,12:02,MBH,c5,South-west,No-take,National Park Zone,43.2,Hayley ,25.11.20,Brooke - check shark,Yes,,Hayley ,369,370,440,1,,,,,,,,
33,-34.133067,114.8627,20200603,10:54,12:06,MBH,c5,South-west,No-take,National Park Zone,43.6,Hayley ,03.12.20,Brooke,Yes,,Hayley ,564,561,420,1,,,,,,,,
34,-34.131334,114.866053,20200603,12:18,13:20,MBH,c5,South-west,No-take,National Park Zone,42.7,Hayley ,03.12.20,Brooke,Yes,,Hayley ,564,561,420,1,,,,,,,,
35,-34.134801,114.869348,20200603,12:23,13:27,MBH,c5,South-west,No-take,National Park Zone,43.8,Hayley ,25.11.20,Brooke - check shark  (same as 32),Yes,,Hayley ,369,370,440,1,,,,,,,,
36,-34.130484,114.878263,20200603,12:29,13:33,MBH,c4,South-west,No-take,National Park Zone,42.2,Hayey,25.11.20,Brooke,Yes,,Hayey,375,376,416,1,,,Was on phone to tim so mark was late. Maybe use MBH planned mark instead.,,,,,
37,-34.126354,114.878937,20200603,12:34,13:42,MBH,c4,South-west,No-take,National Park Zone,41.2,Hayley ,2.12.20,Brooke,Yes,,Hayley ,373,374,423,1,,,,,,,,
38,-34.127912,114.883938,20200603,12:39,13:48,MBH,c4,South-west,No-take,National Park Zone,41.8,Hayley ,2.12.20,Brooke - check vittiger and small thing,Yes,,Hayley ,372,371,422,1,,,,,,,,
39,-34.132294,114.884797,20200603,12:42,13:53,MBH,c4,South-west,No-take,National Park Zone,42.2,Hayley ,2.12.20,Brooke,Yes,,Hayley ,378,377,439,1,,,Used old bait.,,,,,
40,-34.133669,114.880443,20200603,12:46,14:00,MBH,c4,South-west,No-take,National Park Zone,41.2,Hayley ,5.12.20,Brooke - check unknown with Todd,Yes,,Hayley ,367,368,441,1,,,Used old bait.,,,,,
08 - failed,-34.129336,114.911822,20200602,11:36,12:38,MBH,c3,South-west,No-take,National Park Zone,41.7,,,,No,No,,564,561,420,1,,,Camera not turned on. Re-done.,,,,,
11 - failed,-34.117769,114.923158,20200602,11:55,13:03,MBH,c2,South-west,No-take,National Park Zone,46.7,,,,No,No,,373,374,423,1,,,Facing down. Re-done.,,,,,
